"exp","id","condition1","block","trial","isold","rating","RT","excluding"
"JCM2019_e1","JCM2019_e1_1","Old50",3,73,1,6,1052,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,74,0,6,1029,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,75,0,2,840,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,76,1,2,1098,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,77,1,5,3096,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,78,1,5,1197,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,79,0,2,1588,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,80,1,2,1664,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,81,0,6,850,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,82,0,2,863,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,83,1,2,1088,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,84,1,2,648,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,85,0,5,1704,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,86,0,6,829,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,87,1,2,1867,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,88,0,2,769,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,89,0,5,1877,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,90,1,2,801,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,91,1,2,972,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,92,0,2,832,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,93,0,2,954,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,94,1,2,820,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,95,1,5,939,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,96,0,4,966,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,97,1,3,763,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,98,0,3,1194,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,99,0,5,1240,"Include"
"JCM2019_e1","JCM2019_e1_1","Old50",3,100,0,5,1837,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,1,1,6,1054,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,2,0,5,1466,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,3,1,5,2337,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,4,0,2,759,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,5,0,2,795,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,6,1,5,1330,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,7,0,2,720,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,8,1,5,1366,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,9,1,5,1137,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,10,1,2,886,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,11,0,6,750,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,12,0,2,822,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,13,0,2,928,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,14,1,5,1206,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,15,1,2,894,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,16,1,6,959,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,17,0,2,683,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,18,0,2,1085,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,19,0,1,1479,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,20,0,2,1467,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,21,0,5,1728,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,22,0,2,670,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,23,0,2,744,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,24,0,3,743,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,25,1,2,843,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,26,1,5,1604,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,27,0,5,1771,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,28,0,2,792,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,29,0,2,2409,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,30,0,6,1365,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,31,0,2,942,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,32,0,1,1411,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,33,0,5,1688,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,34,0,5,949,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,35,0,1,705,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,36,0,5,1158,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,37,0,2,613,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,38,0,3,1550,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,39,0,2,849,"Include"
"JCM2019_e1","JCM2019_e1_1","Old35",4,40,0,2,1107,"Include"
