"exp","id","isold","rating","RT","excluding","trial","condition1"
"KL2012_e2","KL2012_e2_46",1,4,2800,"Include",28,"Block1"
"KL2012_e2","KL2012_e2_46",0,2,3390,"Include",29,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,2447,"Include",30,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,3201,"Include",31,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,5041,"Include",32,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,1357,"Include",33,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,2624,"Include",34,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,1074,"Include",35,"Block1"
"KL2012_e2","KL2012_e2_46",0,2,1613,"Include",36,"Block1"
"KL2012_e2","KL2012_e2_46",1,5,2689,"Include",37,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,5335,"Include",38,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,1762,"Include",39,"Block1"
"KL2012_e2","KL2012_e2_46",1,4,1647,"Include",40,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,2324,"Include",41,"Block1"
"KL2012_e2","KL2012_e2_46",1,3,5248,"Include",42,"Block1"
"KL2012_e2","KL2012_e2_46",0,2,1514,"Include",43,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,3920,"Include",44,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,1357,"Include",45,"Block1"
"KL2012_e2","KL2012_e2_46",1,4,2232,"Include",46,"Block1"
"KL2012_e2","KL2012_e2_46",0,2,2374,"Include",47,"Block1"
"KL2012_e2","KL2012_e2_46",1,3,2382,"Include",48,"Block1"
"KL2012_e2","KL2012_e2_46",0,2,2836,"Include",49,"Block1"
"KL2012_e2","KL2012_e2_46",0,2,1915,"Include",50,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,2153,"Include",51,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,2935,"Include",52,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,3115,"Include",53,"Block1"
"KL2012_e2","KL2012_e2_46",1,5,2066,"Include",54,"Block1"
"KL2012_e2","KL2012_e2_46",1,4,3639,"Include",55,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,1383,"Include",56,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,4040,"Include",57,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,1029,"Include",58,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,2426,"Include",59,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,2560,"Include",60,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,2549,"Include",61,"Block1"
"KL2012_e2","KL2012_e2_46",0,4,2097,"Include",62,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,3285,"Include",63,"Block1"
"KL2012_e2","KL2012_e2_46",1,4,6405,"Include",64,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,2983,"Include",65,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,3178,"Include",66,"Block1"
"KL2012_e2","KL2012_e2_46",0,2,3024,"Include",67,"Block1"
"KL2012_e2","KL2012_e2_46",1,5,2984,"Include",68,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,2287,"Include",69,"Block1"
"KL2012_e2","KL2012_e2_46",1,4,2416,"Include",70,"Block1"
"KL2012_e2","KL2012_e2_46",1,4,1326,"Include",71,"Block1"
"KL2012_e2","KL2012_e2_46",1,6,2805,"Include",72,"Block1"
"KL2012_e2","KL2012_e2_46",1,4,1890,"Include",73,"Block1"
"KL2012_e2","KL2012_e2_46",1,3,5858,"Include",74,"Block1"
"KL2012_e2","KL2012_e2_46",0,3,2073,"Include",75,"Block1"
"KL2012_e2","KL2012_e2_46",1,5,5098,"Include",76,"Block1"
