"exp","id","isold","condition1","rating","RT","excluding","trial"
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,650,"Include",265
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,950,"Include",266
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1500,"Include",267
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,817,"Include",268
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1000,"Include",269
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",2,817,"Include",270
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,750,"Include",271
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,967,"Include",272
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1450,"Include",273
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,450,"Include",274
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1650,"Include",275
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",1,1750,"Include",276
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,2367,"Include",277
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,450,"Include",278
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,617,"Include",279
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1000,"Include",280
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,850,"Include",281
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,300,"Include",282
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1217,"Include",283
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,400,"Include",284
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1367,"Include",285
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1550,"Include",286
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,400,"Include",287
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,900,"Include",288
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",1,2150,"Include",289
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1150,"Include",290
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,950,"Include",291
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,967,"Include",292
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,350,"Include",293
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1100,"Include",294
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1250,"Include",295
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1750,"Include",296
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,967,"Include",297
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,2350,"Include",298
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1050,"Include",299
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1100,"Include",300
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,350,"Include",301
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1050,"Include",302
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,450,"Include",303
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,550,"Include",304
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",5,1000,"Include",305
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,800,"Include",306
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1150,"Include",307
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",4,1250,"Include",308
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,400,"Include",309
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",5,950,"Include",310
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,350,"Include",311
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,350,"Include",312
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",1,800,"Include",313
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",3,1450,"Include",314
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",1,600,"Include",315
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",3,1200,"Include",316
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",6,350,"Include",317
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",2,1150,"Include",318
"QGM2021_e1","QGM2021_e1_1",0,"BriefStudy",1,800,"Include",319
"QGM2021_e1","QGM2021_e1_1",1,"BriefStudy",4,1400,"Include",320
