"exp","id","item","trial","isold","condition1","rating","excluding"
"WHD2018_e1","WHD2018_e1_103","dronkaard",1261,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","lounge",1262,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","rood",1263,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","chroom",1264,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","vrolijkheid",1265,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","huid",1266,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","buitenlander",1267,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","piek",1268,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","appel",1269,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","ritueel",1270,1,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","hen",1271,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","leider",1272,0,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","zeug",1273,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","halster",1274,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","cimbaal",1275,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","limonade",1276,0,"Vertex",4,"Include"
"WHD2018_e1","WHD2018_e1_103","stuurman",1277,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","bak",1278,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","hagel",1279,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","klink",1280,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","genegenheid",1281,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","fort",1282,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","spies",1283,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","haspel",1284,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","publiek",1285,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","sjerp",1286,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","haas",1287,0,"Vertex",2,"Include"
"WHD2018_e1","WHD2018_e1_103","gluiperd",1288,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","emotie",1289,1,"Vertex",99,"Exclude"
"WHD2018_e1","WHD2018_e1_103","stuiver",1290,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","adem",1291,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","zaad",1292,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","circus",1293,1,"Vertex",3,"Include"
"WHD2018_e1","WHD2018_e1_103","lotion",1294,1,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","grijns",1295,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","saffier",1296,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","waterkoker",1297,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","japon",1298,0,"Vertex",5,"Include"
"WHD2018_e1","WHD2018_e1_103","hangslot",1299,0,"Vertex",1,"Include"
"WHD2018_e1","WHD2018_e1_103","toast",1300,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","verschrikking",1301,1,"Vertex",6,"Include"
"WHD2018_e1","WHD2018_e1_103","telegraaf",1302,1,"Vertex",99,"Exclude"
